Potential - Start -0.2 V, Upper Vertex 1.5 V, Lower Vertex -0.2 V, Stop -0.19 V; Scan - # end cross 5, Rate 0.1 Vps, Step 0.01 V 
Scan	Index	Time (s)	Potential applied (V)	WE(1).Potential (V)	WE(1).Current (A)	WE(1).Power (W)	WE(1).Resistance (Ω)	WE(1).Charge (C)
1	157	90.1121697724886	1.38107299804688	1.38092041015625	1.14288330078125E-06	1.57823092195031E-06	1208277.625	1.45041431096615E-05
1	158	90.2128777722344	1.39114379882813	1.3909912109375	1.151123046875E-06	1.60120202963299E-06	1208377.625	1.46196553032496E-05
1	159	90.3135857719801	1.40121459960938	1.4013671875	1.1590576171875E-06	1.62426522365422E-06	1209057.5	1.47359824040905E-05
1	160	90.4142937717259	1.41128540039063	1.4117431640625	1.1676025390625E-06	1.6483547824464E-06	1209095.75	1.48531389640993E-05
1	161	90.5150017714716	1.42135620117188	1.4215087890625	1.17584228515625E-06	1.67147015872615E-06	1208928.125	1.49711404446862E-05
1	162	90.6157097712173	1.43142700195313	1.43096923828125	1.1846923828125E-06	1.69525833371154E-06	1207882.625	1.50900032167556E-05
1	163	90.7164177709631	1.44149780273438	1.44134521484375	1.1932373046875E-06	1.71986687291792E-06	1207928.375	1.52097409227281E-05
1	164	90.8171257707088	1.45156860351563	1.45172119140625	1.20208740234375E-06	1.74509568751091E-06	1207667	1.53303553815931E-05
1	165	90.9178337704545	1.46163940429688	1.461181640625	1.21063232421875E-06	1.76895366621466E-06	1206957.5	1.54518456838559E-05
1	166	91.0185417702003	1.47171020507813	1.4715576171875	1.21978759765625E-06	1.79498772467923E-06	1206404.875	1.55742272909265E-05
1	167	91.119249769946	1.48178100585938	1.48193359375	1.22802734375E-06	1.81985490144143E-06	1206759.5	1.56974838319002E-05
1	168	91.2199577696917	1.49185180664063	1.49139404296875	1.236572265625E-06	1.84421639914945E-06	1206071.125	1.58215862029465E-05
1	169	91.3206657694375	1.50192260742188	1.50146484375	1.243896484375E-06	1.86766681053996E-06	1207065.75	1.59464889293304E-05
1	170	91.4213737691832	1.49185180664063	1.49200439453125	1.14501953125E-06	1.7083741568058E-06	1303038.375	1.60667786985869E-05
1	171	91.522081768929	1.48178100585938	1.48223876953125	1.07818603515625E-06	1.59812907440937E-06	1374752.375	1.61787265824387E-05
1	172	91.6227897686747	1.47171020507813	1.4715576171875	1.0272216796875E-06	1.51161577832681E-06	1432561	1.62847427418455E-05
1	173	91.7234977684204	1.46163940429688	1.46148681640625	9.8480224609375E-07	1.4392754792425E-06	1484040.875	1.63860568136442E-05
1	174	91.8242057681662	1.45156860351563	1.451416015625	9.4879150390625E-07	1.37709116643236E-06	1529752.375	1.64834200404584E-05
1	175	91.9249137679119	1.44149780273438	1.441650390625	9.1827392578125E-07	1.32382990614133E-06	1569956.875	1.65774345077807E-05
1	176	92.0256217676576	1.43142700195313	1.4312744140625	8.9080810546875E-07	1.27499083646399E-06	1606714.625	1.66685294971103E-05
1	177	92.1263297674034	1.42135620117188	1.42059326171875	8.65478515625E-07	1.22949290926044E-06	1641396.375	1.67569651239319E-05
1	178	92.2270377671491	1.41128540039063	1.41143798828125	8.428955078125E-07	1.18969467166608E-06	1674511.25	1.68429887708044E-05
1	179	92.3277457668949	1.40121459960938	1.40106201171875	8.221435546875E-07	1.15187401661387E-06	1704157.375	1.69268296303926E-05
1	180	92.4284537666406	1.39114379882813	1.3909912109375	8.03527832031251E-07	1.11770009425527E-06	1731105.25	1.70086896105204E-05
1	181	92.5291617663863	1.38107299804688	1.38092041015625	7.8643798828125E-07	1.0860081829378E-06	1755917.75	1.7088750610128E-05
1	182	92.6298697661321	1.37100219726563	1.37115478515625	7.69958496093751E-07	1.05573224118416E-06	1780816.5	1.71671199495904E-05
1	183	92.7305777658778	1.36093139648438	1.36077880859375	7.550048828125E-07	1.02739466001367E-06	1802344.375	1.72439085872611E-05
1	184	92.8312857656235	1.35086059570313	1.3507080078125	7.40966796875001E-07	1.00082968401694E-06	1822899.625	1.73192365764407E-05
1	185	92.9319937653693	1.34078979492188	1.34063720703125	7.275390625E-07	9.75365878730372E-07	1842701.375	1.73931821336737E-05
1	186	93.032701765115	1.33071899414063	1.33056640625	7.14111328125E-07	9.50172534430749E-07	1863247.875	1.74657743627904E-05
1	187	93.1334097648607	1.32064819335938	1.32080078125	7.0159912109375E-07	9.26672669265827E-07	1882557.625	1.75370623765048E-05
1	188	93.2341177646065	1.31057739257813	1.31072998046875	6.8939208984375E-07	9.03606860447326E-07	1901283.75	1.76071043824777E-05
1	189	93.3348257643522	1.30050659179688	1.30035400390625	6.77490234375E-07	8.80977097494906E-07	1919369.375	1.76759313035291E-05
1	190	93.435533764098	1.29043579101563	1.29058837890625	6.66198730468751E-07	8.59788315210608E-07	1937242.375	1.77435922523728E-05
1	191	93.5362417638437	1.28036499023438	1.28021240234375	6.549072265625E-07	8.38420305626641E-07	1954799.75	1.78101145138498E-05
1	192	93.6369497635894	1.27029418945313	1.27044677734375	6.439208984375E-07	8.18067235286435E-07	1972985.875	1.78755162778543E-05
1	193	93.7376577633352	1.26022338867188	1.26007080078125	6.329345703125E-07	7.97542327291012E-07	1990839.125	1.79398102773121E-05
1	194	93.8383657630809	1.25015258789063	1.25	6.21337890625E-07	7.76672322899685E-07	2011788	1.80029674083926E-05
1	195	93.9390737628266	1.24008178710938	1.23992919921875	6.103515625E-07	7.5679270139517E-07	2031500	1.80649894900853E-05
1	196	94.0397817625724	1.23001098632813	1.23016357421875	5.999755859375E-07	7.38068081318488E-07	2050356.125	1.81259329110617E-05
1	197	94.1404897623181	1.21994018554688	1.219482421875	5.8929443359375E-07	7.18634169061261E-07	2069394.125	1.81858176802052E-05
