Index	Forward.Time (s)	Potential applied (V)	WE(1).Forward.Potential (V)	WE(1).Forward.Current (A)	WE(1).Backward.Current (A)	WE(1).δ.Current (A)	WE(1).Forward.Power (W)	WE(1).Forward.Resistance (Ω)	WE(1).Forward.Charge (C)
227	248.707949372073	0.362014770507813	0.311309814453125	-8.8470458984375E-07	7.46765136718749E-07	-1.6314697265625E-06	-2.75417221473617E-07	-351879.96875	-1.16232677100925E-05
228	248.757949371947	0.356979370117188	0.306365966796875	-8.85925292968751E-07	7.5042724609375E-07	-1.6363525390625E-06	-2.71417349040348E-07	-345814.6875	-1.16675337267225E-05
229	248.80794937182	0.351943969726563	0.301055908203125	-8.880615234375E-07	7.525634765625E-07	-1.640625E-06	-2.67356170979838E-07	-339003.4375	-1.1711883416865E-05
230	248.857949371694	0.346908569335938	0.29620361328125	-8.93554687500001E-07	7.56225585937501E-07	-1.6497802734375E-06	-2.64674127947728E-07	-331489.0625	-1.17564241008949E-05
231	248.907949371568	0.341873168945313	0.29150390625	-8.9752197265625E-07	7.60803222656251E-07	-1.6583251953125E-06	-2.61631157627562E-07	-324787.5	-1.18012003440526E-05
232	248.957949371442	0.336837768554688	0.28619384765625	-9.02709960937501E-07	7.6416015625E-07	-1.6668701171875E-06	-2.58350041804079E-07	-317038.5625	-1.18462066893699E-05
233	249.007949371315	0.331802368164063	0.281158447265625	-9.0789794921875E-07	7.6812744140625E-07	-1.676025390625E-06	-2.55263159942842E-07	-309680.6875	-1.18914713311824E-05
234	249.057949371189	0.326766967773438	0.2760009765625	-9.112548828125E-07	7.7392578125E-07	-1.6851806640625E-06	-2.51507231041614E-07	-302880.125	-1.19369506137446E-05
235	249.107949371063	0.321731567382813	0.271148681640625	-9.185791015625E-07	7.781982421875E-07	-1.69677734375E-06	-2.49071518965138E-07	-295182.71875	-1.19826963782543E-05
236	249.157949370937	0.316696166992188	0.266326904296875	-9.2742919921875E-07	7.8460693359375E-07	-1.7120361328125E-06	-2.46999348973986E-07	-287166.84375	-1.20288468679064E-05
237	249.20794937081	0.311660766601563	0.261260986328125	-9.356689453125E-07	7.89489746093749E-07	-1.72515869140625E-06	-2.44453786990562E-07	-279223.75	-1.20754239105736E-05
238	249.257949370684	0.306625366210938	0.255950927734375	-9.429931640625E-07	7.9498291015625E-07	-1.73797607421875E-06	-2.41359970232224E-07	-271423.9375	-1.21223902169731E-05
239	249.307949370558	0.301589965820313	0.2508544921875	-9.53369140625E-07	8.0230712890625E-07	-1.75567626953125E-06	-2.39156918269146E-07	-263124.21875	-1.21697994472925E-05
240	249.357949370432	0.296554565429688	0.245941162109375	-9.6466064453125E-07	8.099365234375E-07	-1.77459716796875E-06	-2.37249764722947E-07	-254950.953125	-1.2217750736454E-05
241	249.407949370305	0.291519165039063	0.24114990234375	-9.783935546875E-07	8.1756591796875E-07	-1.79595947265625E-06	-2.35939523918205E-07	-246475.34375	-1.22663268484757E-05
242	249.457949370179	0.286483764648438	0.23614501953125	-9.893798828125E-07	8.24890136718751E-07	-1.81427001953125E-06	-2.33637123869812E-07	-238679.84375	-1.23155214168946E-05
243	249.507949370053	0.281448364257813	0.23089599609375	-1.00433349609375E-06	8.3465576171875E-07	-1.8389892578125E-06	-2.31896592595149E-07	-229899.71875	-1.23653635455412E-05
244	249.557949369927	0.276412963867188	0.22576904296875	-1.015625E-06	8.4197998046875E-07	-1.85760498046875E-06	-2.29296688303293E-07	-222295.671875	-1.24158623293624E-05
245	249.607949369801	0.271377563476563	0.220794677734375	-1.0345458984375E-06	8.53881835937501E-07	-1.888427734375E-06	-2.28422223358393E-07	-213421.828125	-1.24671169032808E-05
246	249.657949369674	0.266342163085938	0.215911865234375	-1.0504150390625E-06	8.6181640625E-07	-1.9122314453125E-06	-2.26797055802308E-07	-205549.109375	-1.25192409541341E-05
247	249.707949369548	0.261306762695313	0.211029052734375	-1.06689453125E-06	8.72802734375E-07	-1.939697265625E-06	-2.25145726062692E-07	-197797.5	-1.25721735457773E-05
248	249.757949369422	0.256271362304688	0.205780029296875	-1.08245849609375E-06	8.82873535156251E-07	-1.96533203125E-06	-2.22748326450528E-07	-190104.328125	-1.26259074022528E-05
249	249.807949369296	0.251235961914063	0.200653076171875	-1.10076904296875E-06	8.9447021484375E-07	-1.9952392578125E-06	-2.20872692580087E-07	-182284.4375	-1.26804879982956E-05
250	249.857949369169	0.246200561523438	0.195648193359375	-1.12152099609375E-06	9.063720703125E-07	-2.02789306640625E-06	-2.19423554881359E-07	-174448.984375	-1.27360453916481E-05
251	249.907949369043	0.241165161132813	0.190765380859375	-1.1419677734375E-06	9.1888427734375E-07	-2.06085205078125E-06	-2.17847926364811E-07	-167049.703125	-1.2792632333003E-05
