Index	Forward.Time (s)	Potential applied (V)	WE(1).Forward.Potential (V)	WE(1).Forward.Current (A)	WE(1).Backward.Current (A)	WE(1).δ.Current (A)	WE(1).Forward.Power (W)	WE(1).Forward.Resistance (Ω)	WE(1).Forward.Charge (C)
189	217.431637451038	0.446701049804688	0.495635986328125	1.81793212890625E-06	4.67529296874999E-07	1.35040283203125E-06	9.01032592537376E-07	272637.25	2.4824499632814E-05
190	217.481637450912	0.451736450195313	0.500640869140625	1.822509765625E-06	4.62951660156249E-07	1.35955810546875E-06	9.12422876808705E-07	274698.59375	2.4915510948631E-05
191	217.531637450785	0.456771850585938	0.505828857421875	1.82769775390625E-06	4.58374023437499E-07	1.36932373046875E-06	9.24502217003464E-07	276757.40625	2.50067660090281E-05
192	217.581637450659	0.461807250976563	0.510894775390625	1.8304443359375E-06	4.53796386718749E-07	1.37664794921875E-06	9.35164393922605E-07	279109.71875	2.50982211582595E-05
193	217.631637450533	0.466842651367188	0.515960693359375	1.8359375E-06	4.486083984375E-07	1.3873291015625E-06	9.47271587392606E-07	281033.90625	2.51898800343042E-05
194	217.681637450407	0.471878051757813	0.5208740234375	1.839599609375E-06	4.437255859375E-07	1.3958740234375E-06	9.58199620981759E-07	283145.3125	2.52817681030137E-05
195	217.73163745028	0.476913452148438	0.52593994140625	1.84783935546875E-06	4.3792724609375E-07	1.409912109375E-06	9.71852500697423E-07	284624.28125	2.53739544859855E-05
196	217.781637450154	0.481948852539063	0.530853271484375	1.8548583984375E-06	4.3212890625E-07	1.4227294921875E-06	9.84657617664197E-07	286196.125	2.54665210377425E-05
197	217.831637450028	0.486984252929688	0.535888671875	1.86370849609375E-06	4.27856445312499E-07	1.43585205078125E-06	9.98740233626449E-07	287538.90625	2.55594859481789E-05
198	217.881637449902	0.492019653320313	0.541168212890625	1.8719482421875E-06	4.20532226562501E-07	1.451416015625E-06	1.01303885458037E-06	289093.59375	2.56528765021358E-05
199	217.931637449776	0.497055053710938	0.546142578125	1.88140869140625E-06	4.1351318359375E-07	1.4678955078125E-06	1.02751732811157E-06	290283.875	2.57467108895071E-05
200	217.981637449649	0.502090454101563	0.5511474609375	1.89300537109375E-06	4.0740966796875E-07	1.485595703125E-06	1.04332502814941E-06	291149.4375	2.5841070964816E-05
201	218.031637449523	0.507125854492188	0.555938720703125	1.9061279296875E-06	3.98864746093749E-07	1.50726318359375E-06	1.05969024843944E-06	291658.65625	2.59360494965222E-05
202	218.081637449397	0.512161254882813	0.56097412109375	1.9189453125E-06	3.90625E-07	1.5283203125E-06	1.0764787248263E-06	292334.59375	2.60316774074454E-05
